ds,time,y
8/8/2568,0:00,2.95
7/8/2568,23:00,3.35
7/8/2568,22:00,3.71
7/8/2568,21:00,3.93
7/8/2568,20:00,3.9
7/8/2568,19:00,3.74
7/8/2568,18:00,3.4
7/8/2568,17:00,2.71
7/8/2568,16:00,2
7/8/2568,15:00,1.46
7/8/2568,14:00,1.26
7/8/2568,13:00,1.37
7/8/2568,12:00,1.56
7/8/2568,11:00,1.84
7/8/2568,10:00,2.19
7/8/2568,9:00,2.6
7/8/2568,8:00,2.93
7/8/2568,7:00,3.17
7/8/2568,6:00,3.25
7/8/2568,5:00,3.14
7/8/2568,4:00,2.89
7/8/2568,3:00,2.64
7/8/2568,2:00,2.65
7/8/2568,1:00,2.91
7/8/2568,0:00,3.19
6/8/2568,23:00,3.46
6/8/2568,22:00,3.87
6/8/2568,21:00,4.11
6/8/2568,20:00,4.12
6/8/2568,19:00,3.89
6/8/2568,18:00,3.54
6/8/2568,17:00,2.94
6/8/2568,16:00,2.26
6/8/2568,15:00,1.6
6/8/2568,14:00,1.11
6/8/2568,13:00,1.18
6/8/2568,12:00,1.32
6/8/2568,11:00,1.53
6/8/2568,10:00,1.83
6/8/2568,9:00,2.18
6/8/2568,8:00,2.64
6/8/2568,7:00,2.89
6/8/2568,6:00,3.15
6/8/2568,5:00,3.02
6/8/2568,4:00,2.95
6/8/2568,3:00,2.85
6/8/2568,2:00,2.78
6/8/2568,1:00,2.89
6/8/2568,0:00,3.14
5/8/2568,23:00,3.38
5/8/2568,22:00,3.74
5/8/2568,21:00,3.9
5/8/2568,20:00,4.02
5/8/2568,19:00,3.89
5/8/2568,18:00,3.59
5/8/2568,17:00,3.09
5/8/2568,16:00,2.48
5/8/2568,15:00,1.8
5/8/2568,14:00,1.23
5/8/2568,13:00,1.1
5/8/2568,12:00,1.19
5/8/2568,11:00,1.34
5/8/2568,10:00,1.53
5/8/2568,9:00,1.82
5/8/2568,8:00,2.21
5/8/2568,7:00,2.5
5/8/2568,6:00,2.68
5/8/2568,5:00,2.86
5/8/2568,4:00,2.76
5/8/2568,3:00,2.75
5/8/2568,2:00,2.69
5/8/2568,1:00,2.92
5/8/2568,0:00,2.79
