Station,Date and time, DO , EC , Temp 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 12:30, 7.3 ," 2,801 ", 25.9 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 13:00, 7.4 ," 2,597 ", 26.4 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 13:30, 7.3 ," 2,614 ", 26.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 14:00, 7.3 ," 2,679 ", 26.9 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 14:30, 7.4 ," 2,757 ", 27.2 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 15:00, 7.2 ," 2,669 ", 27.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 15:30, 7.3 ," 2,814 ", 27.0 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 16:00, 7.2 ," 2,854 ", 27.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 16:30, 7.3 ," 2,738 ", 27.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 17:00, 7.4 ," 3,538 ", 26.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 17:30, 7.4 ," 3,120 ", 26.3 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 18:00, 7.6 ," 3,034 ", 25.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 18:30, 7.5 ," 2,969 ", 24.8 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 19:00, 7.6 ," 2,872 ", 24.4 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 19:30, 7.8 ," 2,729 ", 24.2 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 20:00, 7.8 ," 2,442 ", 24.0 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 20:30, 7.8 ," 2,135 ", 23.7 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 21:00, 7.9 ," 1,675 ", 23.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 21:30, 7.9 ," 1,435 ", 23.6 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 22:00, 7.9 ," 1,117 ", 23.5 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 22:30, 7.7 , 981 , 23.3 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 23:00, 8.0 , 909 , 23.1 
สถานีวัดแหลมใต้-บางปะกง,4 ม.ค.2566 23:30, 8.1 , 690 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 00:00, 8.3 , 771 , 22.4 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 00:30, 8.3 , 726 , 22.5 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 01:00, 8.3 , 579 , 22.3 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 01:30, 8.3 , 675 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 02:00, 8.4 , 443 , 21.5 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 02:30, 8.3 , 658 , 22.2 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 03:00, 8.3 , 663 , 21.9 
สถานีวัดแหลมใต้-บางปะกง,5 ม.ค.2566 03:30, 8.3 , 554 , 21.7 
